sentence	obligation	reporting_entity	target_entity	frequency	deadline
The following measures necessary for the implementation of this Regulation shall be adopted in accordance with the regulatory procedure referred to in Article 8(2):. (a) technical specifications of the topics as required by this Regulation as well as of their breakdowns as provided for in Article 5(4);. (b) the establishment of the appropriate technical format as provided for in Article 5(5); and. (c) modalities and structure of the quality reports as provided for in Article 6(3).	0	-	-	-	-
any results of calibration and maintenance of measuring instruments.	0	-	-	-	-
Article 26(4) shall, for the EFTA States, read as follows:Iceland and Norway shall, by 15 April each year, submit to the EFTA Surveillance Authority a copy of the final greenhouse gas inventory data reported to the UNFCCC in accordance with paragraph 3.	1	Iceland and Norway	the EFTA Surveillance Authority	annually	15-04-?
2. Investment firms shall ensure that relevant persons do not enter into a personal transaction which meets at least one of the following criteria:	0	-	-	-	-
Motor vehicle liability insurance and proportional reinsurance — Net (of reinsurance) written premiums in the last 12 months — non–life activities	0	-	-	-	-
The Commission shall review the operation of this Directive and report thereon to the European Parliament and to the Council, by 12 June 2018 and every five years thereafter.	1	The Commission	the European Parliament and  to the Council	every five years	12-06-2018
The provisional draft estimate of Eurojust’s revenue and expenditure shall be sent to the Commission by no later than 31 January each year.	1	-	the Commission	annually	31-01-?
The competent authority and, if applicable, the designated entity of each Member State shall monitor the filling levels of the underground gas storage facilities on their territory at the end of each month and report the results to the Commission without undue delay.	1	The competent authority and the designated entity of each Member state	the Commission	monthly	-
Table 38. Statistics on international activities – International Supply of Services by Mode of Supply – annual data	0	-	-	-	-
For that purpose, EUPM Moldova shall:. (a) contribute to strengthening the Moldovan crisis management structures focused on the security sector through:(i) the identification of needs for organisation, training and equipment;. (ii) the gradual implementation of proposed actions and identified solutions;. (b) assist in enhancing resilience to hybrid threats by:(i) providing advice at strategic level on the development of strategies and policies for countering hybrid threats and FIMI, including disinformation, for enhancing cybersecurity and for the protection of classified information;. (ii) identifying the needs for capacity building in the security sector for early warning, detection, identification, attribution of threats and the response to those threats;. (iii) contributing to the implementation of the proposed actions and identified solutions;. (c) support the implementation of the aforementioned tasks by means of a project cell offering targeted operational support, as needed, in line with the Integrated Approach and, as far as possible, in close coordination with other actors.	0	-	-	-	-
Member States should report on how these systems are in accordance with IPCC methodologies and UNFCCC reporting requirements on greenhouse gas emissions and removals. (b) Member States shall, prior to 1 January 2022, provide and submit to the Commission by 15 March each year initial, preliminary and non-binding annual estimates of emissions and removals from cropland management and grazing land management using, where appropriate, IPCC methodologies.	1	Member States	the Commission	annually	01-02-2022;15-03-?
If the coordinating officer considers instructions issued to team members not to be in compliance with the operational plan or applicable legal obligations, he or she shall immediately communicate this to the Republic of Moldova officers carrying out a coordinating role and to the executive director.	1	coordinating officer	the Republic of Moldova officers	-	-
(d) international interdependence, in particular, the extent to which nuclear material is received from or sent to other States for use or processing; any verification activities by the Agency in connection therewith; and the extent to which nuclear activities in French Protocol I territories are interrelated with those of other States outside of French Protocol I territories;	0	-	-	-	-
By 30 June 2024, and subsequently by 1 January 2034 and every 10 years thereafter, each Member State shall submit to the Commission an update of its latest notified integrated national energy and climate plan, unless they have provided reasons why the plan does not require updating pursuant to paragraph 1.	1	each Member State	the commission	every ten years	01-01-2034;30-06-2024
Member States shall inform the Commission without delay of any changes thereto.	1	Member States	the Commission	-	without delay
The master or owner of the large-scale pelagic longline vessel shall, not later than 15 days after the transhipment, complete and transmit to its flag Member State and to the coastal CPC the ICCAT transhipment declaration.	1	The master or owner	its flag Member State;the coastal CPC	-	not later than 15 days after
In accordance with Article 41(6), the Commission shall report annually to the European Parliament and to the Council on the activities supported by Union trust funds referred to in Article 234, on their implementation and performance, as well as on their accounts.	1	the Commission	the European Parliament and the Council	annually	-
documents, whether authenticated or not, and including but not limited to business records, books of account, or bank account information;	0	-	-	-	-
From 18 August 2027, the Commission shall, by 30 June each year, publish a report containing the data referred to in paragraphs 2 and 3 in a compiled form, subdivided into Member States and type of service provider.	1	the Commission	-	annually	30-06-?
Genotoxicity of viruses shall be studied on infectious isolates.	0	-	-	-	-
Each laboratory shall communicate to the CRL by 30 January each year an estimate of the number of applications for which the laboratory considers itself able to carry out the tasks of rapporteur laboratory for that year.	1	Each laboratory	the CRL	annually	30-01-?
Member States' and Europol annual reports shall be transmitted to the Commission by 30 June of the subsequent year.	1	Member States' and Europol	the Commission	annually	30-06-?
Whereas Article 113 (3) of the Treaty provides that where, after the transitional period has ended, trade agreements with third countries need to be negotiated, the Commission shall make recommendations to the Council, which shall authorise the Commission to open the necessary negotiations;	0	-	-	-	-
Greece shall inform the Commission by 30 March 2021, and every six months thereafter of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Greece	the Commission	semiannually	30-03-2021
The consultative forum shall prepare an annual report of its activities.	1	The consultative forum	-	annually	-
Member States shall communicate to the Commission, by 15 June of each year, the spatial restrictions as referred to in paragraph 1, in the waters under their jurisdiction which they apply with a view to protecting spawning and nursery areas for demersal stocks referred to in Article 66.	1	Member States	the Commission	annually	15-06-?
The Commission shall examine such reports and transmit them to the IOTC Secretariat by 30 June of each year.	1	The Commission	the IOTC Secretariat	annually	30-06-?
Member States shall, within five months of notification of this Directive, put into force the measures required to comply with its provisions and shall forthwith inform the Commission thereof.	1	Member States	the Commission	-	within five months
Once the third State which submitted the request has informed the coordinator or coordinators of the PESCO project that it accepts the invitation, the project members, or the coordinator or coordinators on their behalf, shall initiate negotiations with that third State with a view to an administrative arrangement to be entered into by the project members, acting unanimously, and that third State, on the basis of the template attached to this Decision.	0	-	-	-	-
the protection of court proceedings and legal advice.	0	-	-	-	-
Where EFSA is required or requested to deliver an opinion in accordance with this Regulation, the staff of EFSA shall, at the request of interested business operator(s) or any other interested, party provide advice on the rules applicable to, and the content required for the submission of information pursuant to Articles 4 to 7a.	1	EFSA	interested business operator(s);any other interested, party	-	-
Sweden shall submit to the Commission, before 1 June each year, as part of the information provided pursuant to Article 143(2) of the Act of Accession, information on the impact of the aid granted and in particular on production trends and the development of the means of production benefiting from the aid and of the economy of the regions concerned, as well as the impact on the protection of the environment and the preservation of the countryside referred to in the third subparagraph of Article 142(3) of the Act of Accession.	1	Sweden	the Commission	annually	01-06-?
Each year before 15 October, Member States shall notify the Agency of the means of control and inspection that they have available for the purpose of control and inspection in the following year.	1	Member States	the Agency	annually	15-10-?
For eligibility conditions that can be monitored only by geotagged photos, in case of absence of input by the beneficiary, the Member State shall consider that this eligibility condition has not been met.	0	-	-	-	-
Reports of the independent auditor shall be published in accordance with the procedure set out in Annex VI.	1	independent auditor	-	-	-
When assessing whether a financial instrument referred to in points 4 to 10 of Section C of Annex I to Directive 2014/65/EU are capable of being traded in a fair, orderly and efficient manner, a regulated market shall verify that the following conditions are satisfied:. (a) the terms of the contract establishing the financial instrument are clear and unambiguous, and enable a correlation between the price of the financial instrument and the price or other value measure of the underlying;. (b) the price or other value measure of the underlying is reliable and publicly available;. (c) sufficient information of a kind needed to value the derivative is publicly available;. (d) the arrangements for determining the settlement price of the contract is such that the price properly reflects the price or other value measures of the underlying;. (e) where the settlement of the derivative requires or provides for the possibility of the delivery of an underlying security or asset rather than cash settlement, there are adequate arrangements to enable market participants to obtain relevant information about that underlying as well as adequate settlement and delivery procedures for the underlying.	0	-	-	-	-
(36) As regards this second infringement of the Treaty, the Portuguese authorities claim that the objective of the measure was to provide support for the flights linking the Azores with the mainland, there being no alternative to them, and for the domestic services operating from mainland airports, in view of their short distances and low fares.	0	-	-	-	-
Where the Community authorities ascertain that imports of textile products have been set off against a quantitative limit established under this Agreement, but that the products have subsequently been re-exported outside the Community, the authorities shall inform the Lithuania authorities within four weeks of the quantities, involved and authorise imports of identical quantities of the same products which shall not be set off against the quantitative limit established under this Agreement for the current or the following year, as appropriate.	1	the authorities	the Lithuania authorities	-	within four weeks
As regards the profit-sharing clause designed to encourage CL to manage the hived-off structure well, the French authorities have made it known informally that the article of the agreement relating to that clause will not be implemented.	0	-	-	-	-
PEPP providers shall submit to their competent authorities the information which is necessary for the purposes of supervision in addition to the information provided under the relevant sectorial law.	1	PEPP providers	their competent authorities	-	-
In addition, Mauritania shall notify, not later than 30 October of each year, the sectoral budgetary allocation provided for in the Finance Act for the following year.	1	Mauretania	-	annually	30-10-?
Europol shall send to the Commission and the budgetary authority by 31 March each year at the latest the following:. (a) its draft work programme;. (b) its updated multi-annual staff policy plan, established in line with the guidelines set by the Commission;. (c) information on the number of officials, temporary and contract staff as defined in the Staff Regulations and the Conditions of Employment of Other Servants (hereinafter the European Staff Regulations) for the year n-1 and n as well as an estimate for the year n+1;. (d) information on contributions in kind granted by the host Member State to Europol unless such disclosure would result in the release of Europol operational, strategic and/or classified information;. (e) an estimate of the balance of the outturn account within the meaning of Article 81 for the year n-1.	1	Europol	the Commission	annually	31-03-?
Member States shall, if necessary, provide the Commission by 30 June every two years with an update of the information described in paragraph 2.	1	Member States	the Commission	biannually	30-06-?
Member States shall submit to the Commission before 30 April each year statistics on national electricity and heat production from high and low efficiency cogeneration, in accordance with the methodology shown in Annex I, in relation to total heat and electricity production.	1	Member States	the Commission	annually	30-04-?
If a serious infringement of the provisions of this Regulation is discovered by Commission officials on the territory or in waters under the sovereignty or jurisdiction of a Member State, Commission officials shall inform without delay the competent authorities of the Member State concerned which shall undertake all appropriate measures in respect of such infringement.	1	Commission officials	the competent authorities of the Member State	-	without delay
Such information shall be forwarded to the Bulgarian authorities by the end of the period following the month to which the statistics relate.	1	-	the Bulgarian authorities	-	-
Member States shall, by 1 December 2025, notify the Commission of those rules and of those measures and shall notify it, without delay, of any subsequent amendment affecting them.	1	Member States	the Commission	-	01-12-2025
In that context, a request for support should be presented as soon as possible after the announcement of the date of the game.	1	-	-	-	-
In the temporary absence of both the Chairman and the Vice-Chairman or the permanent absence of one or both of them, the Council may elect new officers from among the representatives of the exporting Members or from among the representatives of the importing Members, as appropriate, on a temporary or permanent basis as may be required.	0	-	-	-	-
Member States shall, by 28 January 2022, notify the Commission of those rules and of those measures and shall notify it, without delay, of any subsequent amendment affecting them.	1	Member States	the Commission	-	20-01-2022
include a proposal for a transitional period for applying the requirement to existing HVDC systems or DC-connected power park modules. That transitional period shall not be more than two years from the date of the decision of the regulatory authority or where applicable the Member State on the requirement's applicability;	0	-	-	-	-
Conditional for EGR identity number if the enterprise group is multinational	0	-	-	-	-
Member States shall communicate to the Commission by 31 July of each year and the Commission shall transmit to the GFCM Secretariat not later than 31 August of each year, in an aggregated format, a report on fishing activities carried out by the vessels referred to in paragraph 1, including the following minimum information:. (a) number of fishing days;. (b) exploitation area; and. (c) captures of European hake and deep-water rose shrimp.	1	Member States; the Commission	the Commission; the GFCM Secretariat	annually	31-07-?; 31-08-?
That measure, designed to amend non-essential elements of this Regulation, shall be adopted in accordance with the regulatory procedure with scrutiny referred to in Article 8(3).	0	-	-	-	-
Further information was sent by the Belgian authorities by letter dated 15 September 1989, recorded as received on 20 September 1989.	0	-	-	-	-
27) Variable 220501: Number of employees and self-employed persons in foreign-controlled enterprises	0	-	-	-	-
Hungary shall inform the Commission by 16 March 2023, and every 3 months thereafter, of the implementation of the remedial measures to which Hungary committed with its second reply, including the additional commitments included in Hungary’s letter of 13 September 2022.	1	Hungary	the Commission	quarterly	16-03-2023
In the situations foreseen in paragraph 4, first indent, and in paragraph 5, the ECB or the competent national central bank, on behalf of the ECB, as the case may be, shall give notification in writing to the relevant supervisory authorities.	1	ECB or the competent national central bank	the relevant supervisory authorities	-	-
As regards the possibility that the aid granted was considered unlawful, the Spanish authorities admitted that they failed to fulfil their obligation to notify the measure, but stated that this was because the strategic plan required the measures to be implemented immediately, as a year had passed since aid had been requested and the plan presented.	0	-	-	-	-
One of the official languages of the Union, in this case English, shall be used for the procedures related to requests, grant agreements and reports, as well as for other legal and administrative aspects of the Programme.	0	-	-	-	-
goods from Chapters 1 to 24 of the Combined Nomenclature in force during the reference period,	0	-	-	-	-
personally owned and no limit to personal liability,	0	-	-	-	-
The Commission shall regularly inform the Board of Governors of the implementation of this specific programme.	1	The Commission	the Board of Governors	periodically	-
The countries submitting comments said that the rules of the Treaty regarding State aid had to be applied strictly in the civil aviation sector following the entry into force of the provisions of the third liberalization package (Council Regulations (EEC) No 2407/92, (EEC) No 2408/92 and (EEC) No 2409/92 (2)) on 1 January 1993.	0	-	-	-	-
Where the competent authorities conclude that a relevant product entering or leaving the market is non-compliant, they shall notify the customs authorities accordingly and the customs authorities shall not allow the release for free circulation or export of that relevant product.	1	competent authorities	customs authorities	-	-
It shall send the Union report to the NEAFC Secretary by 1 March each year.	1	It	NEAFC Secretary	annually	01-03-?
It is also necessary to lay down appropriate procedural arrangements for the participation of the Union and the Member States in the Joint Committee set up under Article 21 of the Agreement and in the dispute settlement procedures provided in Article 22 of the Agreement, as well as for implementing certain provisions of the Agreement concerning security and safety,	0	-	-	-	-
Community fishing vessels fishing for crab in FAO statistical subarea 48.3 shall transmit to the CCAMLR, by 25 September each year, data concerning fishing activities and the catches of crab taken before 31 August of that year, with a copy to the Commission.	1	Community fishing vessels	the CCAMLR	annually	25-09-?
The following reports after the first report shall be sent to the Agency by 30 June of each year and shall cover the data of antimicrobial medicinal products used during the preceding calendar year for relevant animal species, categories or stages.	1	-	the Agency	annually	30-06-?
the intra-Union export/import has not to be declared as an intra-Union supply/acquisition for VAT purposes or no change of ownership took place or is intended to take place for extra-Union export/import;	0	-	-	-	-
3. issues related to the movement of health professionals: there has been some concern that the movement of health professionals could have unintended effects both for health systems and for health status in sending and receiving countries.	0	-	-	-	-
After receiving the order from the judicial or administrative authority, the Digital Services Coordinator of the Member State concerned shall, without undue delay, transmit a copy of the order referred to in paragraph 1 of this Article to all other Digital Services Coordinators through the system established in accordance with Article 85.	1	the Digital Services Coordinators of the Member State concerned	all other Digital Services Coordinators	-	without undue delay
Where the European Union has decided to undertake a military crisis-management operation with recourse to NATO assets and capabilities, the Kingdom of Norway will inform the European Union of any intention to participate in the operation, and subsequently provide information on any proposed contribution.	1	the Kingdom of Norway	European Union	-	-
In this respect, the publication by the notified operator of sufficiently detailed cost statements showing the average cost of network components will increase transparency and raise confidence on the part of competitors, that there are no anti-competitive cross-subsidies.	0	-	-	-	-
The Commission shall also assess the economic effects on the internal market of the exclusions set out in Article 12 taking into account the specific structures of the water sector, and report thereon to the European Parliament and the Council by 18 April 2019.	1	The Commission	the European Parliament and the Council	-	18-04-2019
The Belgian Government shall inform the Commission, within two months of the notification of this Decision, of the measures it has taken to comply therewith.	1	The Belgian Government	the Commission	-	within two months
Member States may apply points (v) and (vi) only in individual cases where there are serious grounds for considering that the applicant is attempting to conceal relevant elements which would likely lead to a negative decision and provided that the applicant has been given full opportunity, taking into account the special procedural needs of unaccompanied minors, to show good cause for the actions referred to in points (v) and (vi), including by consulting with his or her representative;. (c) consider the application to be inadmissible in accordance with Article 33(2)(c) if a country which is not a Member State is considered as a safe third country for the applicant pursuant to Article 38, provided that to do so is in the minor’s best interests;. (d) apply the procedure referred to in Article 20(3) where the minor’s representative has legal qualifications in accordance with national law.	0	-	-	-	-
Each year by 30 June Member States shall report the following information in an electronic format to the Commission, for the previous calendar year:. (b) the quantities of halons installed, used and stored for critical uses, pursuant to Article 13(1), the measures taken to reduce their emissions and an estimate of such emissions, and progress in evaluating and using adequate alternatives;. (c) cases of illegal trade, in particular those detected during the inspections carried out pursuant to Article 28.	1	Member States	the Commission	annually	30-06-?
Member State is not in a position to undertake further action, it shall record its findings in a surveillance report and shall transmit that report without delay, if possible by electronic means, to the flag Member State or to the third country	1	Member State	the flag Member States or the third country	-	without delay
The management board shall forward them to the European Parliament, to the Council and to the Commission by 31 January every year, as part of the draft single programming document.	1	The management board	the European Parliament, the Council and the Commission	annually	31-01-?
With regard to the exemption provided for in subparagraph 3 (c) of Article 92 of the Treaty in favour of 'aid to facilitate the development of certain economic activities', it must be observed that the aid, while facilitating the development of the firm in issue, affected at the same time trading conditions to an extent contrary to the common interest.	0	-	-	-	-
If agreed in the framework contract, the payment service provider may charge the payment service user for recovery.	0	-	-	-	-
Member States shall inform the European Commission not later than 15 June each year of the tonnages caught during the past year, as confirmed by the scientific institutes referred to in point 5.	1	Member States	the European Commission	annually	15-06-?
37). ;. (ii) where the opposing party has appointed a representative, or where representation is mandatory pursuant to Article 119(2) of Regulation (EU) 2017/1001, the name and business address of the representative in accordance with Article 2(1)(e) of Implementing Regulation (EU) 2018/626;. (iii) where the opposition is entered by a licensee or by a person who is entitled under the relevant Union legislation or national law to exercise an earlier right, a statement to that effect and indications concerning the authorisation or the entitlement to file the opposition;. (i) an indication of the goods or services against which the opposition is directed; in the absence of such an indication, the opposition shall be considered to be directed against all of the goods or services of the opposed EU trade mark application.	0	-	-	-	-
Member States shall, on an annual basis, provide the Commission (Eurostat) with up-to-date national data for the calculation of the gender pay gap in unadjusted form.	1	Member States	the Commission	annually	-
In addition, the Commission shall submit a report to the European Parliament and to the Council every two years after the submission of the report referred to in paragraph 2.	1	the Commission	the European Parialment and the Council	biannually	-
